id,first_name,last_name,gender,time,location,total_bill,tip,food,Day
123,Mattheus,Hinners,Male,Dinner,Town,26.24,9.48,Po-Tay-To Onion Soup,Hevensday
124,Amelia,De La Cote,Female,First Breakfast,Gladden Fields,34.86,6.0,Po-Tay-To Onion Soup,Mersday
125,Devlen,Keast,Male,Luncheon,Gladden Fields,9.12,5.31,Strawberry and Banana French Toast,Monday
126,Rene,Cowely,Male,Second Breakfast,The Shire,9.45,1.67,Beorn Honey Nut Cake,Hevensday
127,L;urette,Gladhill,Female,Luncheon,Town,8.78,8.95,Cheesy Garlic Bread Meatball Ring,Sunday
128,Adey,Edel,Female,Afternoon Tea,Dragon's Den,28.44,7.56,Beorn Honey Nut Cake,Mersday
129,Sully,Westpfel,Male,Dinner,Town,29.27,1.72,Beorn Honey Nut Cake,Highday
130,Nickie,Ascraft,Male,Luncheon,Gladden Fields,29.22,4.12,Bilbo's Tea Cake,Monday
131,Ingelbert,Shiel,Male,Afternoon Tea,The Shire,12.85,4.35,Strawberry and Banana French Toast,Monday
132,Priscella,Humberston,Female,Luncheon,The Shire,14.73,5.9,Po-Tay-To Onion Soup,Highday
133,Ephraim,Shorie,Male,Afternoon Tea,Gladden Fields,24.01,2.42,Bilbo's Tea Cake,Monday
134,Stephanus,Burnip,Male,Luncheon,Dragon's Den,33.76,1.57,Strawberry and Banana French Toast,Monday
135,Hyacinthe,Luquet,Female,Elevenses,The Shire,30.4,9.51,Eggs,Mersday
136,Odilia,Clement,Female,Dinner,Dragon's Den,18.74,2.28,Po-Tay-To Onion Soup,Hevensday
137,Jordan,Blamire,Female,Afternoon Tea,Dragon's Den,25.15,2.98,Po-Tay-To Onion Soup,Sterday
138,Audre,Quaintance,Female,First Breakfast,Town,11.32,1.11,Eggs,Sunday
139,Haydon,Corcut,Male,Supper,Dragon's Den,4.36,5.28,Beorn Honey Nut Cake,Monday
140,Buiron,Kemmish,Male,Elevenses,Dragon's Den,15.6,7.23,Eggs,Hevensday
141,Sal,Altree,Female,Second Breakfast,The Shire,6.77,2.37,Strawberry and Banana French Toast,Sterday
142,Amalle,Greenroa,Female,Dinner,The Shire,20.68,4.95,Beorn Honey Nut Cake,Sterday
143,Deni,Connew,Female,Luncheon,The Shire,30.88,8.33,Strawberry and Banana French Toast,Sterday
144,Field,Coners,Male,Second Breakfast,Gladden Fields,12.82,2.74,Po-Tay-To Onion Soup,Monday
145,Ethan,Shaylor,Male,Elevenses,The Shire,14.4,4.63,Strawberry and Banana French Toast,Monday
146,Konstantine,Chawner,Male,First Breakfast,Dragon's Den,18.94,5.4,Strawberry and Banana French Toast,Monday
147,Morse,Summerbell,Male,Afternoon Tea,Dragon's Den,12.05,1.19,Beorn Honey Nut Cake,Sterday
148,Aldridge,Upwood,Male,Second Breakfast,Dragon's Den,11.04,9.01,Beorn Honey Nut Cake,Monday
149,Giacomo,Pether,Male,Afternoon Tea,Town,22.67,4.45,Eggs,Monday
150,Cicely,Sybbe,Female,Second Breakfast,The Shire,21.16,9.94,Cheesy Garlic Bread Meatball Ring,Sunday
151,Hillery,Stannislawski,Male,Dinner,Town,23.4,3.25,Strawberry and Banana French Toast,Mersday
152,Hoyt,Haycroft,Male,Luncheon,Dragon's Den,7.96,2.56,Eggs,Trewsday
153,Lombard,Grainge,Male,First Breakfast,Gladden Fields,23.17,2.91,Eggs,Trewsday
154,Lawton,Teresi,Male,Second Breakfast,The Shire,23.93,3.61,Cheesy Garlic Bread Meatball Ring,Hevensday
155,Ann,Cadell,Female,First Breakfast,Gladden Fields,20.9,4.33,Po-Tay-To Onion Soup,Sunday
156,Nesta,McCrea,Female,Luncheon,Town,15.87,8.64,Bilbo's Tea Cake,Hevensday
157,Dannie,Guerry,Male,First Breakfast,Town,11.18,1.96,Beorn Honey Nut Cake,Monday
158,Stacy,Longbottom,Male,Luncheon,Gladden Fields,14.79,3.17,Strawberry and Banana French Toast,Trewsday
159,Hobey,Isaac,Male,Supper,Town,17.02,9.35,Cheesy Garlic Bread Meatball Ring,Mersday
160,George,Ferencowicz,Male,Supper,Gladden Fields,24.74,9.12,Cheesy Garlic Bread Meatball Ring,Mersday
161,Theodoric,Bertolin,Male,Luncheon,Town,31.06,2.17,Strawberry and Banana French Toast,Highday
162,Kessia,Covolini,Female,Dinner,Town,28.39,5.89,Eggs,Mersday
163,Keelby,Duggon,Male,Afternoon Tea,The Shire,11.13,5.75,Eggs,Sterday
164,Catriona,Kier,Female,Supper,Gladden Fields,5.4,2.79,Po-Tay-To Onion Soup,Sterday
165,Corette,Preston,Female,Afternoon Tea,Gladden Fields,8.45,8.88,Cheesy Garlic Bread Meatball Ring,Monday
166,Udall,Kaesmans,Male,First Breakfast,Gladden Fields,19.67,4.91,Eggs,Hevensday
167,Sutherland,Tremolieres,Male,First Breakfast,Town,12.36,1.51,Bilbo's Tea Cake,Trewsday
168,Noll,Bayles,Male,Dinner,Dragon's Den,21.13,1.22,Beorn Honey Nut Cake,Monday
169,Silvie,Faveryear,Female,Second Breakfast,Dragon's Den,11.78,9.64,Beorn Honey Nut Cake,Sunday
170,Olvan,Labram,Male,Dinner,Town,21.12,4.99,Bilbo's Tea Cake,Trewsday
171,Vyky,Labuschagne,Female,Afternoon Tea,The Shire,14.87,3.82,Po-Tay-To Onion Soup,Mersday
172,Colet,Goodsell,Male,Second Breakfast,Town,33.04,4.45,Eggs,Highday
173,Micheal,Eager,Male,Elevenses,Gladden Fields,32.72,7.79,Eggs,Hevensday
174,Duffy,Songer,Male,Dinner,Gladden Fields,11.94,3.19,Strawberry and Banana French Toast,Highday
175,Linnea,Lamport,Female,Elevenses,Town,20.33,8.22,Po-Tay-To Onion Soup,Highday
176,Gregoire,Coathup,Male,Second Breakfast,Town,26.5,5.03,Strawberry and Banana French Toast,Trewsday
177,Elijah,Cristofanini,Male,First Breakfast,The Shire,24.94,9.53,Strawberry and Banana French Toast,Highday
178,Jay,Hanington,Male,Elevenses,Dragon's Den,33.22,2.88,Bilbo's Tea Cake,Highday
179,Luke,Cleminson,Male,Second Breakfast,Town,34.87,2.83,Beorn Honey Nut Cake,Highday
180,Rheba,Anglin,Female,Elevenses,Gladden Fields,30.1,9.16,Beorn Honey Nut Cake,Mersday
181,Celestyna,Culross,Female,Second Breakfast,Gladden Fields,28.61,7.31,Bilbo's Tea Cake,Sterday
182,Sallie,Gallyon,Female,Dinner,Town,30.02,1.53,Strawberry and Banana French Toast,Mersday
183,Mata,cornhill,Male,Afternoon Tea,Dragon's Den,25.3,6.77,Strawberry and Banana French Toast,Trewsday
184,Rand,Biscomb,Male,Luncheon,Gladden Fields,7.58,7.42,Beorn Honey Nut Cake,Hevensday
185,Maire,Paliser,Female,Supper,The Shire,12.54,4.38,Eggs,Hevensday
186,Rachael,Sargood,Female,Dinner,Dragon's Den,8.53,7.29,Bilbo's Tea Cake,Highday
187,Bertina,McBayne,Female,Supper,The Shire,23.47,1.02,Eggs,Hevensday
188,Linc,Cordaroy,Male,Supper,The Shire,16.83,6.12,Eggs,Trewsday
189,Pattin,Fitzackerley,Male,First Breakfast,The Shire,29.39,7.76,Cheesy Garlic Bread Meatball Ring,Sterday
190,Tamqrah,Dalla,Female,Afternoon Tea,Gladden Fields,24.02,1.02,Po-Tay-To Onion Soup,Trewsday
191,Lauryn,Orsay,Female,Supper,Town,30.65,3.34,Beorn Honey Nut Cake,Monday
192,Nial,Sarsons,Male,Supper,The Shire,2.9,5.27,Strawberry and Banana French Toast,Hevensday
193,Joeann,Pearmine,Female,Second Breakfast,Town,29.45,8.82,Cheesy Garlic Bread Meatball Ring,Monday
194,Kirsti,Gillum,Female,Afternoon Tea,Gladden Fields,34.79,6.16,Beorn Honey Nut Cake,Trewsday
195,Lorelei,Chrisp,Female,First Breakfast,Dragon's Den,14.31,7.51,Strawberry and Banana French Toast,Hevensday
196,Dorelia,Dufour,Female,Dinner,Town,34.17,8.69,Strawberry and Banana French Toast,Sunday
197,Adlai,Firidolfi,Male,Afternoon Tea,Town,21.39,1.98,Cheesy Garlic Bread Meatball Ring,Monday
198,Olav,Rubanenko,Male,Luncheon,Gladden Fields,23.54,2.11,Beorn Honey Nut Cake,Mersday
199,Arel,Hughman,Male,Supper,Dragon's Den,9.34,9.25,Cheesy Garlic Bread Meatball Ring,Sterday
200,Johanna,Reeders,Female,Second Breakfast,The Shire,5.8,9.98,Po-Tay-To Onion Soup,Sterday
201,Maris,Thackston,Female,Luncheon,Town,34.83,8.77,Beorn Honey Nut Cake,Sunday
202,Cristy,Coldicott,Female,Afternoon Tea,Dragon's Den,4.69,2.16,Beorn Honey Nut Cake,Highday
203,Terrill,Whall,Male,Dinner,Dragon's Den,33.09,3.26,Cheesy Garlic Bread Meatball Ring,Sunday
204,Vic,McCudden,Male,Afternoon Tea,Gladden Fields,2.89,6.34,Eggs,Hevensday
205,Livia,Wheaton,Female,Luncheon,Gladden Fields,12.15,5.63,Eggs,Sunday
206,Nickolas,Boake,Male,Second Breakfast,Dragon's Den,26.19,6.19,Cheesy Garlic Bread Meatball Ring,Sunday
207,Enid,Linne,Female,First Breakfast,Dragon's Den,22.26,4.56,Cheesy Garlic Bread Meatball Ring,Highday
208,Doyle,Winscum,Male,Dinner,Dragon's Den,9.88,4.65,Strawberry and Banana French Toast,Highday
209,Bearnard,Ruddiman,Male,Supper,The Shire,3.18,5.98,Bilbo's Tea Cake,Sterday
210,Saba,Gero,Female,Elevenses,Gladden Fields,2.46,2.16,Beorn Honey Nut Cake,Hevensday
211,Jaine,Abbati,Female,Supper,The Shire,15.79,1.11,Po-Tay-To Onion Soup,Trewsday
212,Alexa,Tincknell,Female,Elevenses,Dragon's Den,30.06,6.36,Bilbo's Tea Cake,Sterday
213,Dewey,Martindale,Male,First Breakfast,Town,33.73,4.16,Cheesy Garlic Bread Meatball Ring,Sterday
214,Allistir,Lawlings,Male,Supper,The Shire,15.68,6.0,Bilbo's Tea Cake,Hevensday
215,Priscella,Wolfendell,Female,Afternoon Tea,Gladden Fields,31.45,1.95,Bilbo's Tea Cake,Sunday
216,Augustine,Pudan,Male,Luncheon,Dragon's Den,29.36,6.23,Strawberry and Banana French Toast,Monday
217,Gretel,Uden,Female,Elevenses,Dragon's Den,17.38,9.79,Beorn Honey Nut Cake,Hevensday
218,Levy,Blant,Male,Supper,Town,11.05,2.3,Eggs,Sterday
219,Roderick,Egerton,Male,Luncheon,The Shire,8.86,2.41,Eggs,Sterday
220,Zulema,Ashlee,Female,First Breakfast,Dragon's Den,18.87,5.93,Strawberry and Banana French Toast,Hevensday
221,Chlo,Hannaford,Female,Second Breakfast,The Shire,7.14,4.95,Po-Tay-To Onion Soup,Sunday
222,Rickie,Cornelleau,Male,Elevenses,Dragon's Den,16.83,2.53,Beorn Honey Nut Cake,Monday
223,Adrian,Hamfleet,Female,Afternoon Tea,Dragon's Den,33.48,3.47,Strawberry and Banana French Toast,Sunday
224,Quinton,Daniell,Male,Elevenses,The Shire,7.17,8.89,Bilbo's Tea Cake,Sterday
225,Jerome,Crickmoor,Male,Luncheon,Dragon's Den,11.06,5.62,Strawberry and Banana French Toast,Sunday
226,Ilyssa,Abatelli,Female,First Breakfast,Gladden Fields,1.06,1.81,Strawberry and Banana French Toast,Hevensday
227,Violette,Plester,Female,Dinner,The Shire,21.7,6.7,Cheesy Garlic Bread Meatball Ring,Monday
228,Lorianne,McCutheon,Female,Luncheon,The Shire,32.42,6.7,Strawberry and Banana French Toast,Mersday
229,Sisely,Tyt,Female,Supper,Dragon's Den,5.68,2.07,Eggs,Hevensday
230,Andrei,Wheble,Female,Second Breakfast,Gladden Fields,8.89,5.36,Cheesy Garlic Bread Meatball Ring,Sterday
231,Eran,Weild,Female,Afternoon Tea,The Shire,16.1,4.48,Cheesy Garlic Bread Meatball Ring,Monday
232,Sayre,Derye-Barrett,Male,Elevenses,Gladden Fields,14.79,7.6,Bilbo's Tea Cake,Monday
233,Mendie,Caddick,Male,First Breakfast,Town,21.69,7.53,Bilbo's Tea Cake,Monday
234,Denys,Oehm,Female,Second Breakfast,The Shire,12.53,5.84,Bilbo's Tea Cake,Monday
235,Abey,Sired,Male,First Breakfast,Gladden Fields,10.87,7.61,Strawberry and Banana French Toast,Sterday
236,Lanna,Eslie,Female,Second Breakfast,Dragon's Den,6.69,4.84,Po-Tay-To Onion Soup,Hevensday
237,Tammie,Blase,Male,First Breakfast,The Shire,19.88,2.32,Strawberry and Banana French Toast,Trewsday
238,Hillary,MacGruer,Female,Afternoon Tea,Town,10.97,9.15,Bilbo's Tea Cake,Mersday
239,Billi,Renwick,Female,Dinner,Gladden Fields,2.64,8.77,Po-Tay-To Onion Soup,Monday
240,Vidovik,Sawood,Male,Dinner,The Shire,3.46,9.35,Strawberry and Banana French Toast,Sterday
241,Mike,Sandal,Male,Afternoon Tea,Town,1.3,8.33,Strawberry and Banana French Toast,Highday
242,Ettore,Bonnet,Male,Luncheon,Dragon's Den,22.11,1.9,Beorn Honey Nut Cake,Monday
243,Jefferey,Bonnar,Male,Luncheon,The Shire,23.28,3.43,Po-Tay-To Onion Soup,Mersday
244,Fae,Huguet,Female,Second Breakfast,Gladden Fields,27.1,1.29,Po-Tay-To Onion Soup,Monday
245,Farr,Honnicott,Male,Dinner,Dragon's Den,17.38,2.72,Bilbo's Tea Cake,Mersday
246,Jesse,Offiler,Male,First Breakfast,Town,28.01,8.42,Eggs,Trewsday
247,Samara,Rowet,Female,Afternoon Tea,Dragon's Den,19.26,7.94,Eggs,Sunday
248,Si,Dummigan,Male,Dinner,Gladden Fields,31.15,7.86,Cheesy Garlic Bread Meatball Ring,Highday
249,Winfield,Wilmot,Male,Elevenses,Dragon's Den,2.83,4.9,Cheesy Garlic Bread Meatball Ring,Highday
250,Leonora,Bowerbank,Female,First Breakfast,Town,6.55,5.13,Eggs,Highday
251,Ingrid,Issacof,Female,Supper,The Shire,8.26,3.71,Po-Tay-To Onion Soup,Sunday
252,Dona,Welbrock,Female,Afternoon Tea,The Shire,1.24,3.32,Beorn Honey Nut Cake,Hevensday
253,Arlie,Keogh,Female,Supper,Gladden Fields,21.2,8.82,Po-Tay-To Onion Soup,Monday
254,Tedman,Dalgarnowch,Male,Dinner,Dragon's Den,16.22,8.33,Beorn Honey Nut Cake,Monday
255,Lodovico,Alenin,Male,Afternoon Tea,Town,3.02,7.64,Beorn Honey Nut Cake,Highday
256,Henderson,Degg,Male,Supper,Town,15.97,8.55,Po-Tay-To Onion Soup,Sterday
257,Norby,Geldeard,Male,Afternoon Tea,Town,32.86,2.98,Cheesy Garlic Bread Meatball Ring,Highday
